algo,n,case,time_ms,comparisons,swaps_moves
Bubble Sort,100,random,0.3745160001926706,4760,2365
Insertion Sort,100,random,0.1817069996832288,2462,2365
Selection Sort,100,random,0.19318799968459643,4950,93
Bubble Sort,200,random,1.4902980001352262,19575,10382
Insertion Sort,200,random,1.1277049998170696,10572,10382
Selection Sort,200,random,0.8677910000187694,19900,195
Bubble Sort,300,random,3.243388999180752,44730,20438
Insertion Sort,300,random,1.6549270003451966,20732,20438
Selection Sort,300,random,2.1871640001336345,44850,296
Bubble Sort,200,random,1.470342000175151,19822,9753
Insertion Sort,200,random,0.754181000047538,9947,9753
Selection Sort,200,random,0.8431699998254771,19900,194
Bubble Sort,200,sorted,0.01242300004378194,199,0
Insertion Sort,200,sorted,0.01881299976957962,199,0
Selection Sort,200,sorted,0.7765780001136591,19900,0
Bubble Sort,200,reverse,2.357141999709711,19900,19897
Insertion Sort,200,reverse,1.5984100000423496,19900,19897
Selection Sort,200,reverse,0.7714610001130495,19900,101
